catalogue,source_file,ws,Technology,cat,par,unit,est,year,val,note,note_text,ref,ref_text
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy losses during storage [K/day],K/day,Upper,2050,0.1,B,,12,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,ctrl,2020,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,ctrl,2025,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,ctrl,2030,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,ctrl,2035,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,ctrl,2040,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,ctrl,2050,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,Lower,2020,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,Upper,2020,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,Lower,2050,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Auxiliary electricity consumption [% of output],% of output,Upper,2050,0.02,C,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,ctrl,2020,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,ctrl,2025,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,ctrl,2030,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,ctrl,2035,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,ctrl,2040,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,ctrl,2050,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,Lower,2020,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,Upper,2020,0,,,,
